,W1,W2,W3,Epsilon,l
dre28_dual,0.0,0.970472,0.029528,7.100955,7.19193
dre30,0.0,0.987955,0.012045,7.543868,7.584318
dre30_dual,0.0,0.987955,0.012045,7.543868,7.584318
dre42,0.0,0.985032,0.014968,10.577229,10.649679
dre42_dual,0.0,0.985032,0.014968,10.577229,10.649679
dre56,0.0,0.991819,0.008181,14.05645,14.110439
dre56_dual,0.0,0.991819,0.008181,14.05645,14.110439
dre72,0.0,0.993731,0.006269,18.055802,18.109713
dre72_dual,0.0,0.993731,0.006269,18.055802,18.109713
dre90,0.0,0.994769,0.005231,22.558333,22.615071
dre90_dual,0.0,0.994769,0.005231,22.558333,22.615071
els19,0.0,0.8249,0.1751,5.178163,5.494176
els19_dual,0.0,0.8249,0.1751,5.178163,5.494176
esc128,0.0,1.0,0.0,32.0,32.0
esc128_dual,0.0,1.0,0.0,32.0,32.0
esc16a,0.0,1.0,0.0,4.0,4.0
esc16a_dual,0.0,1.0,0.0,4.0,4.0
esc16b,0.0,1.0,0.0,4.0,4.0
esc16b_dual,0.0,1.0,0.0,4.0,4.0
esc16c,0.0,1.0,0.0,4.0,4.0
esc16c_dual,0.0,1.0,0.0,4.0,4.0
esc16d,0.0,1.0,0.0,4.0,4.0
esc16d_dual,0.0,1.0,0.0,4.0,4.0
esc16e,0.0,1.0,0.0,4.0,4.0
esc16e_dual,0.0,1.0,0.0,4.0,4.0
esc16f,0.0,0.0,1.0,7.5,7.5
esc16f_dual,0.0,0.0,1.0,7.5,7.5
esc16g,0.0,1.0,0.0,4.0,4.0
esc16g_dual,0.0,1.0,0.0,4.0,4.0
esc16h,0.0,1.0,0.0,4.0,4.0
esc16h_dual,0.0,1.0,0.0,4.0,4.0
esc16i,0.0,1.0,0.0,4.0,4.0
esc16i_dual,0.0,1.0,0.0,4.0,4.0
esc16j,0.0,1.0,0.0,4.0,4.0
esc16j_dual,0.0,1.0,0.0,4.0,4.0
esc32a,0.0,1.0,0.0,8.0,8.0
esc32a_dual,0.0,1.0,0.0,8.0,8.0
esc32b,0.0,1.0,0.0,8.0,8.0
esc32b_dual,0.0,1.0,0.0,8.0,8.0
esc32c,0.0,1.0,0.0,8.0,8.0
esc32c_dual,0.0,1.0,0.0,8.0,8.0
esc32d,0.0,1.0,0.0,8.0,8.0
esc32d_dual,0.0,1.0,0.0,8.0,8.0
esc32e,0.0,1.0,0.0,8.0,8.0
esc32e_dual,0.0,1.0,0.0,8.0,8.0
esc32g,0.0,1.0,0.0,8.0,8.0
esc32g_dual,0.0,1.0,0.0,8.0,8.0
esc32h,0.0,1.0,0.0,8.0,8.0
esc32h_dual,0.0,1.0,0.0,8.0,8.0
esc64a,0.0,1.0,0.0,16.0,16.0
esc64a_dual,0.0,1.0,0.0,16.0,16.0
esc8b,0.0,1.0,0.0,2.0,2.0
esc8b_dual,0.0,1.0,0.0,2.0,2.0
esc8c,0.0,1.0,0.0,2.0,2.0
esc8c_dual,0.0,1.0,0.0,2.0,2.0
esc8d,0.0,1.0,0.0,2.0,2.0
esc8d_dual,0.0,1.0,0.0,2.0,2.0
esc8e,0.0,1.0,0.0,2.0,2.0
esc8e_dual,0.0,1.0,0.0,2.0,2.0
esc8f,0.0,1.0,0.0,2.0,2.0
esc8f_dual,0.0,1.0,0.0,2.0,2.0
evoflow_dre72_1_1,0.0,0.97461,0.02539,18.228145,18.444321
evoflow_dre72_1_1_dual,0.0,0.97461,0.02539,18.228145,18.444321
evoflow_dre72_2_1,0.0,0.994551,0.005449,18.048478,18.095353
evoflow_dre72_2_1_dual,0.0,0.994551,0.005449,18.048478,18.095353
evoflow_dre72_3_1,0.0,0.996977,0.003023,18.026865,18.052905
evoflow_dre72_3_1_dual,0.0,0.996977,0.003023,18.026865,18.052905
evoflow_dre72_4_1,0.0,0.99465,0.00535,18.047599,18.093627
evoflow_dre72_4_1_dual,0.0,0.99465,0.00535,18.047599,18.093627
evoflow_dre72_5_1,0.0,0.995732,0.004268,18.037946,18.074681
evoflow_dre72_5_1_dual,0.0,0.995732,0.004268,18.037946,18.074681
evoflow_dre72_6_1,0.0,0.978263,0.021737,18.194971,18.380406
evoflow_dre72_6_1_dual,0.0,0.978263,0.021737,18.194971,18.380406
evoflow_dre72_7_1,0.0,0.9774,0.0226,18.202794,18.395499
evoflow_dre72_7_1_dual,0.0,0.9774,0.0226,18.202794,18.395499
evoflow_dre72_8_1,0.0,0.977181,0.022819,18.204786,18.39934
evoflow_dre72_8_1_dual,0.0,0.977181,0.022819,18.204786,18.39934
evoflow_hyp64!3_1_1,0.000129,0.999725,0.000146,16.001114,16.002224
evoflow_hyp64!3_1_1_dual,0.000129,0.999725,0.000146,16.001114,16.002224
evoflow_hyp64!3_2_1,0.000465,0.999477,5.8e-05,16.00034,16.000787
evoflow_hyp64!3_2_1_dual,0.000465,0.999477,5.8e-05,16.00034,16.000787
evoflow_hyp64!3_3_1,0.000661,0.999273,6.6e-05,16.000354,16.000862
evoflow_hyp64!3_3_1_dual,0.000661,0.999273,6.6e-05,16.000354,16.000862
evoflow_hyp64!3_4_1,0.0004,0.999557,4.3e-05,16.000238,16.000569
evoflow_hyp64!3_4_1_dual,0.0004,0.999557,4.3e-05,16.000238,16.000569
evoflow_hyp64!3_5_1,0.001458,0.998459,8.4e-05,16.000288,16.000932
evoflow_hyp64!3_5_1_dual,0.001458,0.998459,8.4e-05,16.000288,16.000932
evoflow_hyp64!3_6_1,0.000341,0.999244,0.000415,16.003178,16.006341
evoflow_hyp64!3_6_1_dual,0.000341,0.999244,0.000415,16.003178,16.006341
evoflow_hyp64!3_7_1,7.6e-05,0.9997,0.000224,16.001745,16.003454
evoflow_hyp64!3_7_1_dual,7.6e-05,0.9997,0.000224,16.001745,16.003454
evoflow_hyp64!3_8_1,0.00142,0.998271,0.000309,16.002073,16.004435
evoflow_hyp64!3_8_1_dual,0.00142,0.998271,0.000309,16.002073,16.004435
evoflow_sko72_1_1,0.0,0.846735,0.153265,19.471102,20.682134
evoflow_sko72_1_1_dual,0.0,0.846735,0.153265,19.471102,20.682134
evoflow_sko72_2_1,0.0,0.963857,0.036143,18.326528,18.632511
evoflow_sko72_2_1_dual,0.0,0.963857,0.036143,18.326528,18.632511
evoflow_sko72_3_1,0.0,0.950326,0.049674,18.451829,18.869287
evoflow_sko72_3_1_dual,0.0,0.950326,0.049674,18.451829,18.869287
evoflow_sko72_4_1,0.0,0.965756,0.034244,18.309073,18.599271
evoflow_sko72_4_1_dual,0.0,0.965756,0.034244,18.309073,18.599271
evoflow_sko72_5_1,0.0,0.938471,0.061529,18.563036,19.076752
evoflow_sko72_5_1_dual,0.0,0.938471,0.061529,18.563036,19.076752
evoflow_sko72_6_1,0.0,0.723729,0.276271,20.837909,22.834736
evoflow_sko72_6_1_dual,0.0,0.723729,0.276271,20.837909,22.834736
evoflow_sko72_7_1,0.0,0.816923,0.183077,19.785642,21.203854
evoflow_sko72_7_1_dual,0.0,0.816923,0.183077,19.785642,21.203854
evoflow_sko72_8_1,0.0,0.806517,0.193483,19.897838,21.385959
evoflow_sko72_8_1_dual,0.0,0.806517,0.193483,19.897838,21.385959
evoflow_stf100ep3_1_1,0.0,0.974923,0.025077,25.314196,25.614386
evoflow_stf100ep3_1_1_dual,0.0,0.974923,0.025077,25.314196,25.614386
evoflow_stf100ep3_2_1,0.0,0.99615,0.00385,25.047736,25.094336
evoflow_stf100ep3_2_1_dual,0.0,0.99615,0.00385,25.047736,25.094336
evoflow_stf100ep3_3_1,0.0,0.996523,0.003477,25.043098,25.085187
evoflow_stf100ep3_3_1_dual,0.0,0.996523,0.003477,25.043098,25.085187
evoflow_stf100ep3_4_1,0.0,0.997262,0.002738,25.033929,25.067089
evoflow_stf100ep3_4_1_dual,0.0,0.997262,0.002738,25.033929,25.067089
evoflow_stf100ep3_5_1,0.0,0.994841,0.005159,25.064002,25.126401
evoflow_stf100ep3_5_1_dual,0.0,0.994841,0.005159,25.064002,25.126401
evoflow_stf100ep3_6_1,0.0,0.977279,0.022721,25.284342,25.556666
evoflow_stf100ep3_6_1_dual,0.0,0.977279,0.022721,25.284342,25.556666
evoflow_stf100ep3_7_1,0.0,0.982013,0.017987,25.224562,25.440675
evoflow_stf100ep3_7_1_dual,0.0,0.982013,0.017987,25.224562,25.440675
evoflow_stf100ep3_8_1,0.0,0.976191,0.023809,25.298122,25.583325
evoflow_stf100ep3_8_1_dual,0.0,0.976191,0.023809,25.298122,25.583325
evoflow_stf60er1_1_1,0.0,0.656084,0.343916,18.051487,19.986784
evoflow_stf60er1_1_1_dual,0.0,0.656084,0.343916,18.051487,19.986784
evoflow_stf60er1_2_1,0.0,0.926689,0.073311,15.560717,16.063007
evoflow_stf60er1_2_1_dual,0.0,0.926689,0.073311,15.560717,16.063007
evoflow_stf60er1_3_1,0.0,0.955342,0.044658,15.33665,15.647545
evoflow_stf60er1_3_1_dual,0.0,0.955342,0.044658,15.33665,15.647545
evoflow_stf60er1_4_1,0.0,0.919654,0.080346,15.616737,16.165016
evoflow_stf60er1_4_1_dual,0.0,0.919654,0.080346,15.616737,16.165016
evoflow_stf60er1_5_1,0.0,0.910188,0.089812,15.692757,16.302278
evoflow_stf60er1_5_1_dual,0.0,0.910188,0.089812,15.692757,16.302278
evoflow_stf60er1_6_1,0.0,0.416533,0.583467,21.03164,23.460271
evoflow_stf60er1_6_1_dual,0.0,0.416533,0.583467,21.03164,23.460271
evoflow_stf60er1_7_1,0.0,0.648229,0.351771,18.13575,20.100678
evoflow_stf60er1_7_1_dual,0.0,0.648229,0.351771,18.13575,20.100678
evoflow_stf60er1_8_1,0.0,0.699341,0.300659,17.601124,19.359561
evoflow_stf60er1_8_1_dual,0.0,0.699341,0.300659,17.601124,19.359561
evoflow_stf60es2_1_1,0.0,0.525535,0.474465,19.562113,21.879744
evoflow_stf60es2_1_1_dual,0.0,0.525535,0.474465,19.562113,21.879744
evoflow_stf60es2_2_1,0.0,0.86832,0.13168,16.038051,16.909365
evoflow_stf60es2_2_1_dual,0.0,0.86832,0.13168,16.038051,16.909365
evoflow_stf60es2_3_1,0.0,0.866078,0.133922,16.056965,16.941865
evoflow_stf60es2_3_1_dual,0.0,0.866078,0.133922,16.056965,16.941865
evoflow_stf60es2_4_1,0.0,0.905435,0.094565,15.7312,16.371186
evoflow_stf60es2_4_1_dual,0.0,0.905435,0.094565,15.7312,16.371186
evoflow_stf60es2_5_1,0.0,0.913415,0.086585,15.666756,16.255481
evoflow_stf60es2_5_1_dual,0.0,0.913415,0.086585,15.666756,16.255481
evoflow_stf60es2_6_1,0.0,0.416261,0.583739,21.035581,23.464213
evoflow_stf60es2_6_1_dual,0.0,0.416261,0.583739,21.035581,23.464213
evoflow_stf60es2_7_1,0.0,0.470406,0.529594,20.278742,22.67912
evoflow_stf60es2_7_1_dual,0.0,0.470406,0.529594,20.278742,22.67912
evoflow_stf60es2_8_1,0.0,0.560476,0.439524,19.133563,21.373099
evoflow_stf60es2_8_1_dual,0.0,0.560476,0.439524,19.133563,21.373099
evoflow_term75!4_1_1,0.0,0.999691,0.000309,18.752855,18.755634
evoflow_term75!4_1_1_dual,0.0,0.999691,0.000309,18.752855,18.755634
evoflow_term75!4_2_1,0.0,0.999919,8.1e-05,18.750748,18.751476
evoflow_term75!4_2_1_dual,0.0,0.999919,8.1e-05,18.750748,18.751476
evoflow_term75!4_3_1,0.0,0.999889,0.000111,18.751028,18.752029
evoflow_term75!4_3_1_dual,0.0,0.999889,0.000111,18.751028,18.752029
evoflow_term75!4_4_1,0.0,0.99991,9e-05,18.750834,18.751645
evoflow_term75!4_4_1_dual,0.0,0.99991,9e-05,18.750834,18.751645
evoflow_term75!4_5_1,0.0,0.999664,0.000336,18.753105,18.756125
evoflow_term75!4_5_1_dual,0.0,0.999664,0.000336,18.753105,18.756125
evoflow_term75!4_6_1,0.0,0.999806,0.000194,18.751795,18.753541
evoflow_term75!4_6_1_dual,0.0,0.999806,0.000194,18.751795,18.753541
evoflow_term75!4_7_1,0.0,0.999428,0.000572,18.755293,18.760443
evoflow_term75!4_7_1_dual,0.0,0.999428,0.000572,18.755293,18.760443
evoflow_term75!4_8_1,0.0,0.999524,0.000476,18.754408,18.758696
evoflow_term75!4_8_1_dual,0.0,0.999524,0.000476,18.754408,18.758696
evoflow_xran70A1_1_1,0.019116,0.966088,0.014796,17.623606,17.746751
evoflow_xran70A1_1_1_dual,0.019116,0.966088,0.014796,17.623606,17.746751
evoflow_xran70A1_2_1,0.086378,0.904839,0.008783,17.553993,17.627711
evoflow_xran70A1_2_1_dual,0.086378,0.904839,0.008783,17.553993,17.627711
evoflow_xran70A1_3_1,0.078332,0.914228,0.007439,17.544395,17.606884
evoflow_xran70A1_3_1_dual,0.078332,0.914228,0.007439,17.544395,17.606884
evoflow_xran70A1_4_1,0.115574,0.876211,0.008215,17.541629,17.610766
evoflow_xran70A1_4_1_dual,0.115574,0.876211,0.008215,17.541629,17.610766
evoflow_xran70A1_5_1,0.100742,0.887149,0.01211,17.57923,17.680677
evoflow_xran70A1_5_1_dual,0.100742,0.887149,0.01211,17.57923,17.680677
evoflow_xran70A1_6_1,0.05056,0.931814,0.017627,17.64029,17.787012
evoflow_xran70A1_6_1_dual,0.05056,0.931814,0.017627,17.64029,17.787012
evoflow_xran70A1_7_1,0.167208,0.793069,0.039723,17.805369,18.13349
evoflow_xran70A1_7_1_dual,0.167208,0.793069,0.039723,17.805369,18.13349
evoflow_xran70A1_8_1,0.166457,0.798192,0.03535,17.766617,18.059344
evoflow_xran70A1_8_1_dual,0.166457,0.798192,0.03535,17.766617,18.059344
had12,0.0,0.56327,0.43673,3.743046,4.091826
had12_dual,0.0,0.56327,0.43673,3.743046,4.091826
had14,0.0,0.589313,0.410687,4.318577,4.732061
had14_dual,0.0,0.589313,0.410687,4.318577,4.732061
had16,0.0,0.802768,0.197232,4.405488,4.690312
had16_dual,0.0,0.802768,0.197232,4.405488,4.690312
had18,0.0,0.75582,0.24418,5.084219,5.476721
had18_dual,0.0,0.75582,0.24418,5.084219,5.476721
had20,0.0,0.699599,0.300401,5.829512,6.351806
had20_dual,0.0,0.699599,0.300401,5.829512,6.351806
hyp125_1,9.5e-05,0.997583,0.002322,31.286005,31.321376
hyp125_1_dual,9.5e-05,0.997583,0.002322,31.286005,31.321376
hyp125_2,8.2e-05,0.997746,0.002172,31.283685,31.316779
hyp125_2_dual,8.2e-05,0.997746,0.002172,31.283685,31.316779
hyp125_3,0.000102,0.997705,0.002194,31.284011,31.317429
hyp125_3_dual,0.000102,0.997705,0.002194,31.284011,31.317429
hyp125_4,7.3e-05,0.997402,0.002525,31.28916,31.327614
hyp125_4_dual,7.3e-05,0.997402,0.002525,31.28916,31.327614
hyp125_5,0.0001,0.997691,0.002209,31.284256,31.317914
hyp125_5_dual,0.0001,0.997691,0.002209,31.284256,31.317914
hyp125_6,8.7e-05,0.997561,0.002353,31.286489,31.322331
hyp125_6_dual,8.7e-05,0.997561,0.002353,31.286489,31.322331
hyp125_7,8.2e-05,0.997737,0.00218,31.28381,31.317027
hyp125_7_dual,8.2e-05,0.997737,0.00218,31.28381,31.317027
hyp125_8,8.9e-05,0.997698,0.002213,31.284308,31.318014
hyp125_8_dual,8.9e-05,0.997698,0.002213,31.284308,31.318014
hyp128_1,7.2e-05,0.999925,3e-06,32.000025,32.000068
hyp128_1_dual,7.2e-05,0.999925,3e-06,32.000025,32.000068
hyp128_2,6.9e-05,0.999929,2e-06,32.000019,32.000056
hyp128_2_dual,6.9e-05,0.999929,2e-06,32.000019,32.000056
hyp128_3,7e-05,0.999928,2e-06,32.00001,32.000037
hyp128_3_dual,7e-05,0.999928,2e-06,32.00001,32.000037
hyp128_4,7.2e-05,0.999926,2e-06,32.000015,32.000048
hyp128_4_dual,7.2e-05,0.999926,2e-06,32.000015,32.000048
hyp128_5,6e-05,0.999938,2e-06,32.000018,32.000051
hyp128_5_dual,6e-05,0.999938,2e-06,32.000018,32.000051
hyp128_6,6.6e-05,0.999932,2e-06,32.000013,32.000042
hyp128_6_dual,6.6e-05,0.999932,2e-06,32.000013,32.000042
hyp128_7,6.7e-05,0.999932,2e-06,32.000008,32.000032
hyp128_7_dual,6.7e-05,0.999932,2e-06,32.000008,32.000032
hyp128_8,7.3e-05,0.999925,2e-06,32.000009,32.000037
hyp128_8_dual,7.3e-05,0.999925,2e-06,32.000009,32.000037
hyp32_1,4.9e-05,0.999946,6e-06,8.000009,8.00003
hyp32_1_dual,4.9e-05,0.999946,6e-06,8.000009,8.00003
hyp32_2,4.2e-05,0.999951,7e-06,8.000016,8.000042
hyp32_2_dual,4.2e-05,0.999951,7e-06,8.000016,8.000042
hyp32_3,5.3e-05,0.999942,5e-06,8.000007,8.000026
hyp32_3_dual,5.3e-05,0.999942,5e-06,8.000007,8.000026
hyp32_4,4.8e-05,0.999945,7e-06,8.000014,8.00004
hyp32_4_dual,4.8e-05,0.999945,7e-06,8.000014,8.00004
hyp32_5,5.4e-05,0.99994,6e-06,8.000009,8.00003
hyp32_5_dual,5.4e-05,0.99994,6e-06,8.000009,8.00003
hyp32_6,3.8e-05,0.999958,4e-06,8.000008,8.000024
hyp32_6_dual,3.8e-05,0.999958,4e-06,8.000008,8.000024
hyp32_7,4.5e-05,0.999949,6e-06,8.000013,8.000036
hyp32_7_dual,4.5e-05,0.999949,6e-06,8.000013,8.000036
hyp32_8,4.8e-05,0.999944,8e-06,8.000019,8.000049
hyp32_8_dual,4.8e-05,0.999944,8e-06,8.000019,8.000049
hyp64_1,5.6e-05,0.99994,4e-06,16.000019,16.000051
hyp64_1_dual,5.6e-05,0.99994,4e-06,16.000019,16.000051
hyp64_2,5.6e-05,0.999941,3e-06,16.000011,16.000036
hyp64_2_dual,5.6e-05,0.999941,3e-06,16.000011,16.000036
hyp64_3,6.2e-05,0.999934,3e-06,16.000011,16.000037
hyp64_3_dual,6.2e-05,0.999934,3e-06,16.000011,16.000037
hyp64_4,5.3e-05,0.999944,3e-06,16.000009,16.000031
hyp64_4_dual,5.3e-05,0.999944,3e-06,16.000009,16.000031
hyp64_5,5.2e-05,0.999944,5e-06,16.000023,16.000058
hyp64_5_dual,5.2e-05,0.999944,5e-06,16.000023,16.000058
hyp64_6,6e-05,0.999938,2e-06,16.000002,16.000019
hyp64_6_dual,6e-05,0.999938,2e-06,16.000002,16.000019
hyp64_7,5.4e-05,0.999942,4e-06,16.000019,16.000051
hyp64_7_dual,5.4e-05,0.999942,4e-06,16.000019,16.000051
hyp64_8,5.4e-05,0.999943,3e-06,16.000013,16.00004
hyp64_8_dual,5.4e-05,0.999943,3e-06,16.000013,16.00004
hyp81_1,6.6e-05,0.995949,0.003984,20.289897,20.328671
hyp81_1_dual,6.6e-05,0.995949,0.003984,20.289897,20.328671
hyp81_2,6.4e-05,0.995892,0.004044,20.2905,20.329855
hyp81_2_dual,6.4e-05,0.995892,0.004044,20.2905,20.329855
hyp81_3,7.5e-05,0.995798,0.004127,20.291328,20.331488
hyp81_3_dual,7.5e-05,0.995798,0.004127,20.291328,20.331488
hyp81_4,6.9e-05,0.996137,0.003794,20.287986,20.32491
hyp81_4_dual,6.9e-05,0.996137,0.003794,20.287986,20.32491
hyp81_5,5.6e-05,0.995976,0.003969,20.289745,20.328369
hyp81_5_dual,5.6e-05,0.995976,0.003969,20.289745,20.328369
hyp81_6,5.9e-05,0.996199,0.003742,20.287464,20.32388
hyp81_6_dual,5.9e-05,0.996199,0.003742,20.287464,20.32388
hyp81_7,6e-05,0.996159,0.003781,20.28786,20.324661
hyp81_7_dual,6e-05,0.996159,0.003781,20.28786,20.324661
hyp81_8,7e-05,0.995772,0.004158,20.291643,20.332106
hyp81_8_dual,7e-05,0.995772,0.004158,20.291643,20.332106
kra30a,0.0,0.630076,0.369924,9.130576,10.08947
kra30a_dual,0.0,0.630076,0.369924,9.130576,10.08947
kra30b,0.0,0.638419,0.361581,9.086024,10.031069
kra30b_dual,0.0,0.638419,0.361581,9.086024,10.031069
kra32,0.0,0.612211,0.387789,9.84785,10.90842
kra32_dual,0.0,0.612211,0.387789,9.84785,10.90842
lipa20a,0.0,0.970095,0.029905,5.071846,5.134574
lipa20a_dual,0.0,0.970095,0.029905,5.071846,5.134574
lipa20b,0.0,0.920366,0.079634,5.196001,5.358354
lipa20b_dual,0.0,0.920366,0.079634,5.196001,5.358354
lipa30a,0.0,0.966881,0.033119,7.621862,7.731834
lipa30a_dual,0.0,0.966881,0.033119,7.621862,7.731834
lipa30b,0.0,0.958939,0.041061,7.651674,7.787424
lipa30b_dual,0.0,0.958939,0.041061,7.651674,7.787424
lipa40a,0.0,0.968952,0.031048,10.153582,10.294954
lipa40a_dual,0.0,0.968952,0.031048,10.153582,10.294954
lipa40b,0.0,0.929557,0.070443,10.355378,10.669205
lipa40b_dual,0.0,0.929557,0.070443,10.355378,10.669205
lipa50a,0.0,0.970409,0.029591,12.683832,12.855088
lipa50a_dual,0.0,0.970409,0.029591,12.683832,12.855088
lipa50b,0.0,0.943806,0.056194,12.853781,13.174326
lipa50b_dual,0.0,0.943806,0.056194,12.853781,13.174326
lipa60a,0.0,0.985062,0.014938,15.110951,15.216601
lipa60a_dual,0.0,0.985062,0.014938,15.110951,15.216601
lipa60b,0.0,0.983254,0.016746,15.124488,15.242811
lipa60b_dual,0.0,0.983254,0.016746,15.124488,15.242811
lipa70a,0.0,0.977903,0.022097,17.692646,17.875653
lipa70a_dual,0.0,0.977903,0.022097,17.692646,17.875653
lipa70b,0.0,0.967538,0.032462,17.784476,18.051853
lipa70b_dual,0.0,0.967538,0.032462,17.784476,18.051853
lipa80a,0.0,0.989711,0.010289,20.102109,20.200641
lipa80a_dual,0.0,0.989711,0.010289,20.102109,20.200641
lipa80b,0.0,0.980849,0.019151,20.190895,20.373453
lipa80b_dual,0.0,0.980849,0.019151,20.190895,20.373453
lipa90a,0.0,0.990165,0.009835,22.609935,22.71637
lipa90a_dual,0.0,0.990165,0.009835,22.609935,22.71637
lipa90b,0.0,0.979225,0.020775,22.733488,22.957045
lipa90b_dual,0.0,0.979225,0.020775,22.733488,22.957045
nug12,0.0,0.90516,0.09484,3.135154,3.2371
nug12_dual,0.0,0.90516,0.09484,3.135154,3.2371
nug14,0.0,0.781659,0.218341,3.89223,4.155022
nug14_dual,0.0,0.781659,0.218341,3.89223,4.155022
nug15,0.0,0.851046,0.148954,4.028607,4.234101
nug15_dual,0.0,0.851046,0.148954,4.028607,4.234101
nug16a,0.0,0.772577,0.227423,4.474927,4.79598
nug16a_dual,0.0,0.772577,0.227423,4.474927,4.79598
nug16b,0.0,0.773827,0.226173,4.472008,4.791605
nug16b_dual,0.0,0.773827,0.226173,4.472008,4.791605
nug17,0.0,0.741453,0.258547,4.836107,5.219552
nug17_dual,0.0,0.741453,0.258547,4.836107,5.219552
nug18,0.0,0.745932,0.254068,5.111088,5.516271
nug18_dual,0.0,0.745932,0.254068,5.111088,5.516271
nug20,0.0,0.708667,0.291333,5.800464,6.311
nug20_dual,0.0,0.708667,0.291333,5.800464,6.311
nug21,0.0,0.672253,0.327747,6.218021,6.806799
nug21_dual,0.0,0.672253,0.327747,6.218021,6.806799
nug22,0.0,0.610755,0.389245,6.751406,7.446226
nug22_dual,0.0,0.610755,0.389245,6.751406,7.446226
nug24,0.0,0.68427,0.31573,7.06715,7.736516
nug24_dual,0.0,0.68427,0.31573,7.06715,7.736516
nug25,0.0,0.697967,0.302033,7.307582,7.986688
nug25_dual,0.0,0.697967,0.302033,7.307582,7.986688
nug27,0.0,0.669863,0.330137,8.023484,8.813354
nug27_dual,0.0,0.669863,0.330137,8.023484,8.813354
nug28,0.0,0.700085,0.299915,8.181427,8.949448
nug28_dual,0.0,0.700085,0.299915,8.181427,8.949448
nug30,0.0,0.732413,0.267587,8.612569,9.373106
nug30_dual,0.0,0.732413,0.267587,8.612569,9.373106
qapsatE100_1,0.04033,0.924755,0.034916,25.429094,25.845353
qapsatE100_1_dual,0.04033,0.924755,0.034916,25.429094,25.845353
qapsatE105_1,0.038798,0.926793,0.034409,26.6949,27.126337
qapsatE105_1_dual,0.038798,0.926793,0.034409,26.6949,27.126337
qapsatE110_1,0.040481,0.9082,0.05132,28.206661,28.875509
qapsatE110_1_dual,0.040481,0.9082,0.05132,28.206661,28.875509
qapsatE115_1,0.040238,0.92471,0.035052,29.247774,29.730154
qapsatE115_1_dual,0.040238,0.92471,0.035052,29.247774,29.730154
qapsatE120_1,0.041224,0.925903,0.032874,30.486327,30.959467
qapsatE120_1_dual,0.041224,0.925903,0.032874,30.486327,30.959467
qapsatE25_1,0.023249,0.81672,0.160031,6.761966,7.164364
qapsatE25_1_dual,0.023249,0.81672,0.160031,6.761966,7.164364
qapsatE30_1,0.016024,0.882228,0.101747,7.882845,8.208226
qapsatE30_1_dual,0.016024,0.882228,0.101747,7.882845,8.208226
