base_scenario,islands_num,migration,migration_batch,migration_freq,probCXcrossover,probMutateInverse,probMutateShift,probMutateSwap,probNothing,probOXcrossover,probPMXcrossover,release,reproduction,succession
esc64a,5.1450906,NonlinearRank,0.29462072,407.41263,0.22435819,0.01464789,0.13909851,0.16007237,0.012640617,0.31314525,0.1513504,LinearRank,Tournament,SteadyState
esc8b,7.9648747,LinearRank,0.24940866,312.5415,0.15066597,0.09785071,0.15101899,0.16693866,0.0949211,0.1472652,0.18640006,LinearRank,Tournament,Elitism
esc8c,7.908256,LinearRank,0.2488643,313.53885,0.15038829,0.09804608,0.1528815,0.16686781,0.09459561,0.1482985,0.18672517,LinearRank,Tournament,Elitism
esc8d,7.873254,LinearRank,0.24923804,313.58047,0.1485852,0.10313711,0.15231848,0.16735986,0.093696326,0.14319584,0.1859311,LinearRank,Tournament,Elitism
esc8e,7.92176,LinearRank,0.24844222,313.5522,0.15008228,0.09845679,0.15265359,0.16736802,0.09419593,0.1488188,0.18634194,LinearRank,Tournament,Elitism
esc8f,5.1773324,NonlinearRank,0.29700193,404.04843,0.22488569,0.014836129,0.13822122,0.16284576,0.011111183,0.31462935,0.15093052,LinearRank,Tournament,SteadyState
evoflow_dre72_1_1,9.696736,Tournament,0.06848083,27.499498,0.23386246,0.12922266,0.21101952,0.1926232,0.1797348,0.013735102,0.037501037,Tournament,Tournament,NoElitism
evoflow_dre72_2_1,9.785032,NonlinearRank,0.10342767,48.65292,0.13480765,0.09637935,0.062210992,0.23159404,0.20506862,0.18571001,0.083783686,Threshold,Tournament,SteadyState
evoflow_dre72_3_1,8.95913,NonlinearRank,0.04343362,37.46938,0.08068122,0.19664948,0.020078607,0.21850681,0.22453718,0.25432515,0.002785486,Threshold,Tournament,SteadyState
evoflow_dre72_4_1,9.944918,NonlinearRank,0.07046724,30.542564,0.18769844,0.14060445,0.24755494,0.19346572,0.12516879,0.064538606,0.050676942,Tournament,Tournament,SteadyState
evoflow_dre72_5_1,8.892477,Tournament,0.07996144,21.140469,0.2648122,0.13886328,0.21203534,0.18756957,0.011879576,0.13671552,0.059888985,Threshold,Tournament,SteadyState
evoflow_dre72_6_1,9.917759,LinearRank,0.37410212,55.999863,0.015979696,0.16869022,0.12831728,0.3846874,0.02637445,0.25688484,0.06340513,Tournament,Tournament,NoElitism
evoflow_dre72_8_1,3.3389099,Threshold,0.23520313,24.23651,0.07195207,0.14280733,0.13509862,0.21987839,0.08076665,0.21725886,0.14300601,Threshold,Tournament,NoElitism
evoflow_hyp64!3_2_1,6.8524294,Tournament,0.03962352,406.90756,0.25262797,0.24758592,0.091268554,0.21793452,0.025523653,0.17438304,0.01449205,NonlinearRank,Tournament,NoElitism
evoflow_hyp64!3_3_1,5.0195274,LinearRank,0.27424935,64.88004,0.07890932,0.25644788,0.069265395,0.19851154,0.097563274,0.24262345,0.058356993,Threshold,Threshold,SteadyState
evoflow_hyp64!3_4_1,2.2571623,Roulette,0.30351913,290.13065,0.27348068,0.04776042,0.077908926,0.113704115,0.33247808,0.08770592,0.032376625,Tournament,Threshold,NoElitism
evoflow_hyp64!3_5_1,8.898844,NonlinearRank,0.26989293,462.57422,0.01512815,0.2736763,0.16287057,0.24474905,0.032151144,0.17687546,0.11181585,Roulette,NonlinearRank,Elitism
evoflow_hyp64!3_6_1,9.859879,LinearRank,0.24258113,18.361948,0.18246531,0.13710444,0.06621164,0.15326887,0.18383032,0.008701583,0.25963998,Tournament,Threshold,SteadyState
evoflow_hyp64!3_7_1,6.073159,Threshold,0.26816142,357.75793,0.08569175,0.080439985,0.008960786,0.34332514,0.116278656,0.027191918,0.3427397,LinearRank,Tournament,NoElitism
evoflow_hyp64!3_8_1,5.102597,Tournament,0.34446228,42.17824,0.058060054,0.05487782,0.2122058,0.1948916,0.15282804,0.15409946,0.17142518,Threshold,Tournament,SteadyState
evoflow_sko72_1_1,2.9731567,Threshold,0.28774762,154.33289,0.25755444,0.093551286,0.005504071,0.20523314,0.075916916,0.07977585,0.2915379,NonlinearRank,Threshold,NoElitism
evoflow_sko72_2_1,9.837721,Roulette,0.3172637,323.27298,0.19358872,0.008724658,0.11755962,0.24344012,0.12404363,0.23475784,0.093407735,Tournament,Threshold,SteadyState
evoflow_sko72_3_1,6.1538897,LinearRank,0.07183018,46.906353,0.07454414,0.27784124,0.21337603,0.05488867,0.22091302,0.013338979,0.13318747,Threshold,Tournament,SteadyState
evoflow_sko72_4_1,8.957961,LinearRank,0.03197688,57.405052,0.033038944,0.38705474,0.0019319638,0.17183416,0.19530791,0.035598382,0.15971982,Tournament,Tournament,SteadyState
evoflow_sko72_5_1,2.2921937,NonlinearRank,0.17446212,181.64813,0.337863,0.0239579,0.10003699,0.10363466,0.062523,0.08911453,0.28390804,Tournament,Threshold,NoElitism
evoflow_sko72_6_1,9.602976,Roulette,0.38996372,84.18637,0.17402923,0.076936975,0.06215909,0.14125292,0.1893096,0.1771045,0.16769044,Threshold,Tournament,SteadyState
evoflow_sko72_7_1,2.194033,Roulette,0.3546436,112.94845,0.32017717,0.13668479,0.011871337,0.16275814,0.05848921,0.09209792,0.21590899,Roulette,Threshold,NoElitism
evoflow_sko72_8_1,2.1178212,Roulette,0.2072833,294.08563,0.25389093,0.11230277,0.036020815,0.1766072,0.071792915,0.109636225,0.24489646,Roulette,Threshold,NoElitism
evoflow_stf100ep3_1_1,8.9686165,NonlinearRank,0.2593066,327.87286,0.20568873,0.2076175,0.18961933,0.09730731,0.0586125,0.13670209,0.11133014,Roulette,Tournament,NoElitism
evoflow_stf100ep3_2_1,7.0024457,LinearRank,0.23585376,96.68673,0.18061255,0.0011851642,0.3177596,0.15388642,0.06854115,0.23538041,0.0756482,Threshold,Tournament,NoElitism
evoflow_stf100ep3_3_1,6.223226,Threshold,0.3220839,211.91638,0.11174877,0.016393742,0.024775194,0.20412645,0.19833468,0.25704587,0.1817697,Threshold,Threshold,NoElitism
evoflow_stf100ep3_4_1,9.807502,LinearRank,0.08169349,54.955223,0.16507308,0.20710535,0.07527779,0.09977276,0.106076956,0.1356393,0.20864156,Threshold,Roulette,SteadyState
evoflow_stf100ep3_5_1,2.3429046,Roulette,0.36558765,393.27338,0.28647694,0.0992851,0.09226284,0.08204503,0.114406556,0.047226314,0.27267063,LinearRank,Threshold,NoElitism
evoflow_stf100ep3_6_1,9.907671,NonlinearRank,0.36308432,113.71987,0.1493287,0.065113746,0.14322595,0.22159466,0.13280739,0.058709897,0.22751583,Tournament,Tournament,SteadyState
evoflow_stf100ep3_7_1,9.911126,Tournament,0.14078774,463.08237,0.22053657,0.08274222,0.059621986,0.24631691,0.2632584,0.025165552,0.08798554,LinearRank,Tournament,NoElitism
evoflow_stf100ep3_8_1,7.9394827,Tournament,0.18518941,372.63058,0.123052195,0.113906994,0.16215856,0.09588438,0.17197311,0.18544391,0.12574536,Tournament,Tournament,SteadyState
evoflow_stf60er1_1_1,9.760791,NonlinearRank,0.33719736,150.53854,0.21149944,0.054732762,0.25670862,0.1898631,0.057871465,0.15522707,0.08913793,Threshold,Tournament,NoElitism
evoflow_stf60er1_2_1,6.0844665,Roulette,0.10902023,82.68949,0.047576517,0.100885056,0.07905827,0.24988943,0.17335424,0.20171414,0.14271705,Threshold,Threshold,SteadyState
evoflow_stf60er1_3_1,6.0535445,Roulette,0.3909916,84.192764,0.17240123,0.07419828,0.06030903,0.14555462,0.20217896,0.122924075,0.21456812,Threshold,Tournament,SteadyState
evoflow_stf60er1_5_1,3.029949,NonlinearRank,0.30810767,397.2689,0.3346336,0.006588949,0.07066587,0.11044001,0.013086758,0.13730441,0.33467042,LinearRank,Threshold,NoElitism
evoflow_stf60er1_6_1,8.983009,LinearRank,0.39905488,330.775,0.1354157,0.057724442,0.035487432,0.24118432,0.14889556,0.31530425,0.067145,Tournament,Roulette,SteadyState
evoflow_stf60er1_7_1,2.366464,Tournament,0.3261801,445.74313,0.22106452,0.1941405,0.082840934,0.08334198,0.17506732,0.018467408,0.20603351,NonlinearRank,Threshold,NoElitism
evoflow_stf60er1_8_1,9.610928,Threshold,0.18833858,30.107746,0.0050637973,0.17816919,0.042097043,0.20279104,0.1265244,0.35399303,0.101747125,Tournament,Tournament,SteadyState
evoflow_stf60es2_1_1,2.3024483,Tournament,0.15516241,498.93613,0.24542817,0.0033763666,0.021545341,0.0438717,0.2339834,0.19159847,0.25264055,LinearRank,Threshold,NoElitism
evoflow_stf60es2_2_1,7.0630484,NonlinearRank,0.30226958,448.59888,0.08898905,0.32711157,0.021022452,0.2515216,0.08713334,0.01724077,0.20849225,Tournament,Tournament,NoElitism
evoflow_stf60es2_3_1,7.9675107,Tournament,0.037464626,54.0834,0.023851026,0.18863615,0.18145546,0.28704625,0.18016133,0.14873521,-0.00072554697,Threshold,Tournament,SteadyState
evoflow_stf60es2_4_1,9.799407,LinearRank,0.40026,268.46466,0.12348825,0.10644357,0.04696222,0.21691263,0.10526668,0.29281074,0.12067694,Tournament,Tournament,SteadyState
evoflow_stf60es2_5_1,2.3682544,LinearRank,0.1689998,422.44818,0.23434144,0.05113084,0.0096783545,0.19404179,0.12516528,0.13912609,0.24565259,Roulette,Threshold,NoElitism
evoflow_stf60es2_6_1,2.3637843,Threshold,0.31334206,468.84576,0.31840098,0.120887645,0.03541276,0.21538335,0.06545141,0.030776458,0.2284937,Tournament,Threshold,NoElitism
evoflow_stf60es2_7_1,3.1340973,Threshold,0.38566646,486.128,0.21457115,0.15737462,-0.0004905308,0.18522029,0.18864577,0.100610256,0.14280774,Tournament,Threshold,NoElitism
evoflow_stf60es2_8_1,6.8334475,Roulette,0.046125844,115.91808,0.2770423,0.11138842,0.3243934,0.17622137,0.010540667,0.0684632,0.06448788,LinearRank,Tournament,NoElitism
evoflow_term75!4_1_1,3.170015,Tournament,0.2764468,44.80631,0.025984287,0.17284231,0.008057656,0.20920546,0.14423533,0.15974982,0.26414245,Tournament,Threshold,NoElitism
evoflow_term75!4_2_1,2.9526706,Tournament,0.08205666,132.65587,0.26252055,0.014283076,0.104799934,0.18641138,0.1306785,0.05181549,0.25026044,Threshold,Threshold,NoElitism
evoflow_term75!4_3_1,9.7288065,Tournament,0.083378896,51.369076,0.16467074,0.21246375,0.08777428,0.10374981,0.10534234,0.17217469,0.16112159,Threshold,Roulette,SteadyState
evoflow_term75!4_4_1,8.8357315,LinearRank,0.020947926,23.544966,0.053186134,0.06557256,0.1439237,0.20578249,0.23550746,0.14304791,0.1341236,Tournament,Threshold,SteadyState
evoflow_term75!4_6_1,9.80119,LinearRank,0.24758187,48.655724,0.009650742,0.2732321,0.004124156,0.44493517,0.09303134,0.18353373,0.04506594,Tournament,Tournament,SteadyState
evoflow_term75!4_8_1,2.3021824,NonlinearRank,0.37883186,485.47473,0.30292955,0.0087608425,0.04173383,0.16634116,0.101767845,0.13695246,0.24171568,Threshold,Threshold,NoElitism
evoflow_xran70A1_1_1,3.2366233,Tournament,0.15602314,256.42947,0.012377098,0.14490022,0.28986472,0.18507732,0.119010955,0.16450864,0.10715232,Roulette,Roulette,Elitism
evoflow_xran70A1_2_1,5.1888204,Roulette,0.36420882,113.8131,0.16615498,0.056785855,0.14152059,0.24021268,0.09601246,0.065653145,0.23479484,Roulette,Tournament,SteadyState
evoflow_xran70A1_3_1,9.793865,Tournament,0.36619747,118.35857,0.17859459,0.10144337,0.112550125,0.23124698,0.11955907,0.035174143,0.22059508,Threshold,Tournament,SteadyState
evoflow_xran70A1_5_1,5.125139,Threshold,0.06726901,72.43302,0.11860678,0.05114722,0.011207354,0.45335248,0.05705675,0.019250924,0.33083105,Tournament,Tournament,NoElitism
evoflow_xran70A1_6_1,9.821554,Tournament,0.057115756,24.17805,0.16732685,0.2220749,0.17033128,0.19298182,0.06768216,0.0828917,0.10092507,Threshold,Tournament,NoElitism
evoflow_xran70A1_8_1,8.756723,NonlinearRank,0.16572402,18.965847,0.19821283,0.0058130133,0.09335379,0.20890701,0.21215947,0.1054011,0.17068502,Threshold,Tournament,NoElitism
had12,5.880627,NonlinearRank,0.3893933,461.93042,0.0062989234,0.080199175,0.16482234,0.3329139,0.085938714,0.13819611,0.2029333,LinearRank,Threshold,Elitism
had14,2.5031128,Roulette,0.37247288,378.6726,0.22297724,0.07950049,0.036885172,0.27010897,0.08545598,0.25466433,0.061002135,Roulette,Tournament,NoElitism
had16,5.930554,NonlinearRank,0.38880724,464.42188,0.0065766782,0.08099718,0.16508688,0.33349285,0.085186504,0.14169465,0.20171072,LinearRank,Threshold,Elitism
had18,4.078559,Threshold,0.20474468,128.00789,0.09708932,0.072248116,0.03110236,0.36585215,0.16957839,0.017044982,0.24932419,LinearRank,Threshold,NoElitism
had20,5.034117,NonlinearRank,0.036646787,403.73456,0.19382462,0.0787262,0.102509156,0.34758502,0.13274387,0.004320206,0.15322228,Tournament,Threshold,NoElitism
hyp125_1,9.755003,LinearRank,0.21879248,29.77587,0.21110243,0.18336408,0.18022189,0.15098025,0.02244269,0.16660893,0.08865151,Tournament,Tournament,NoElitism
hyp125_2,4.1291203,NonlinearRank,0.12395217,376.699,0.27703154,-0.0008287602,0.100473076,0.2740971,0.09793256,0.1653383,0.09042552,LinearRank,NonlinearRank,Elitism
hyp125_3,2.2827044,Threshold,0.08912952,50.117805,0.21763818,0.18109152,0.18387443,0.24664381,0.0066122296,0.097177394,0.076697856,Threshold,Tournament,NoElitism
hyp125_4,5.9676695,LinearRank,0.18208289,56.927353,0.21689527,0.047856655,0.0018983551,0.1980051,0.23339751,0.15463272,0.13680245,Tournament,Tournament,NoElitism
hyp125_6,7.8840923,Tournament,0.038632542,21.95582,0.19052975,0.07414219,0.008499693,0.3584067,0.093514666,0.0900404,0.19669256,Tournament,Tournament,NoElitism
hyp125_8,5.920218,NonlinearRank,0.09713736,50.54068,0.09152705,0.18777178,0.18298179,0.27397716,0.0929669,0.09039113,0.07199651,Threshold,Tournament,NoElitism
hyp128_1,6.9943595,LinearRank,0.027679805,103.80021,0.026505027,0.061437443,0.17099239,0.21367612,0.1285494,0.2311431,0.15834448,LinearRank,NonlinearRank,Elitism
hyp128_2,5.2171903,Threshold,0.023173068,425.73138,0.20058386,0.055922724,0.12633722,0.21884683,0.07244072,0.14664352,0.18985955,Threshold,Tournament,NoElitism
hyp128_3,7.005313,Threshold,0.022595288,22.156681,0.025381438,0.0067274165,0.3375422,0.441124,0.19759361,0.022682765,0.019906823,Tournament,Tournament,NoElitism
hyp128_4,9.461515,Roulette,0.2718521,27.195843,0.16275832,0.13868797,-0.0005025213,0.26637602,0.040585145,0.1389754,0.27723554,Threshold,Tournament,NoElitism
hyp128_5,7.049252,NonlinearRank,0.09073913,68.85624,0.06559778,0.02269096,0.3613508,0.45650244,0.070349544,0.01979437,0.034614492,NonlinearRank,NonlinearRank,Elitism
hyp128_6,8.854805,LinearRank,0.09059151,49.571236,0.23427509,0.18726286,0.19271386,0.17977795,0.027879776,0.113525644,0.0770149,Tournament,Tournament,NoElitism
hyp128_7,6.0335803,NonlinearRank,0.22274436,66.234215,0.30290082,0.045730885,0.13114844,0.228793,0.20977902,0.019747596,0.047010977,NonlinearRank,NonlinearRank,Elitism
hyp128_8,6.231953,Tournament,0.17410725,448.51294,0.1324732,0.20580976,0.09517789,0.21775833,0.15952042,0.032742694,0.1260463,NonlinearRank,NonlinearRank,Elitism
hyp32_1,7.0031805,Threshold,0.3835266,348.2899,0.072099276,0.10209349,0.02803862,0.2575047,0.15886645,0.32618728,0.06361448,LinearRank,Tournament,NoElitism
hyp32_2,3.2368443,NonlinearRank,0.10446893,387.385,0.15182342,0.118689254,0.17143516,0.07646024,0.11828556,0.058711868,0.30002797,LinearRank,Tournament,NoElitism
hyp32_3,9.791051,NonlinearRank,0.39254907,64.96523,0.021567734,0.1741864,0.12122431,0.34096852,0.12835619,0.026639257,0.20075586,Roulette,Tournament,NoElitism
hyp32_4,5.1611485,NonlinearRank,0.3096981,379.74213,0.40826604,0.08280105,0.120681114,0.21271065,0.02056515,0.1417494,0.023971744,Roulette,Threshold,NoElitism
hyp32_5,5.3499274,NonlinearRank,0.35247642,450.95416,0.17229338,0.14209472,0.023964465,0.15166819,0.19538012,0.17841591,0.13937734,NonlinearRank,Threshold,NoElitism
hyp32_6,9.744679,LinearRank,0.22218904,226.10042,0.070935115,0.18600827,0.03963344,0.18481934,0.21242133,0.18375738,0.10830828,LinearRank,Tournament,NoElitism
hyp32_7,7.007569,Roulette,0.3376606,355.6877,0.0844732,0.12834729,0.21132681,0.15491945,0.07278411,0.19575419,0.16236715,LinearRank,LinearRank,Elitism
hyp32_8,8.840063,LinearRank,0.12795387,255.15149,0.17528203,0.08965492,0.09193088,0.27465615,0.15010305,0.02981866,0.203819,Threshold,Tournament,Elitism
hyp64_1,7.0996885,Tournament,0.057636127,274.0799,0.3219881,0.04101671,0.14854576,0.24560839,0.0591537,0.16096081,0.038488675,NonlinearRank,NonlinearRank,Elitism
hyp64_2,9.836184,Threshold,0.14158729,18.297852,0.056808997,0.1455935,0.3601457,0.22945046,0.031721186,0.066519596,0.14520423,Tournament,Tournament,NoElitism
hyp64_3,8.963926,Threshold,0.28096044,264.8649,0.14472644,0.008611229,0.011015609,0.27696067,0.2623004,0.2925479,0.009162887,NonlinearRank,NonlinearRank,Elitism
hyp64_4,8.002191,Roulette,0.29263973,322.12698,0.02085737,0.06757995,0.16463703,0.32471618,0.24729382,0.122366264,0.04154523,Threshold,Tournament,NoElitism
hyp64_5,8.908496,Threshold,0.37771866,414.18793,0.21684341,0.08410695,0.116909385,0.16937493,0.15160157,0.055030596,0.2125769,LinearRank,Tournament,NoElitism
hyp64_6,8.084046,LinearRank,0.37449265,21.395948,0.0020981345,0.0701271,0.3176635,0.32663372,0.08370034,0.04922416,0.19371831,Threshold,Tournament,NoElitism
hyp64_7,8.814292,Threshold,0.07065873,57.067623,0.27871868,0.16460486,0.21620889,0.14234069,0.13225025,0.057693154,0.012307724,Threshold,Tournament,NoElitism
hyp64_8,7.219044,Threshold,0.28432113,24.30302,0.15554251,0.034636077,0.13160634,0.23592442,0.16681316,0.2338404,0.03347971,Threshold,Tournament,NoElitism
hyp81_1,8.02322,Tournament,0.39023858,64.99389,0.015135076,0.036407784,0.23111148,0.27372122,0.22501078,0.1153478,0.09945864,Tournament,Tournament,NoElitism
hyp81_2,9.772672,LinearRank,0.1333121,26.242146,0.25969255,0.017146824,0.31314388,0.15595867,0.04362255,0.05699236,0.19210811,Threshold,Tournament,NoElitism
hyp81_3,8.004753,LinearRank,0.28795546,54.349983,0.2024939,0.0069316234,0.016979134,0.26134697,0.24558263,0.09297574,0.16988358,Threshold,Tournament,NoElitism
hyp81_4,9.884366,Threshold,0.17637587,19.938725,0.22244161,0.21500991,-0.00017161736,0.26244098,0.12172126,0.1912379,0.0010235469,Tournament,Tournament,SteadyState
hyp81_5,7.981446,LinearRank,0.07596032,36.333767,0.16624618,0.07973989,0.1918933,0.18425772,0.12309649,0.18732175,0.058807597,Threshold,Tournament,NoElitism
hyp81_7,9.850014,LinearRank,0.08262444,333.06128,0.2524118,0.011274234,0.13613611,0.278208,0.088460624,0.14672635,0.09936234,LinearRank,NonlinearRank,Elitism
hyp81_8,6.104897,Tournament,0.025540873,491.3611,0.02231653,0.1637115,0.24655122,0.40099984,0.026590995,0.18307865,0.006752872,Roulette,NonlinearRank,Elitism
kra30a,9.405314,NonlinearRank,0.102063425,477.7673,0.14331988,0.07123429,0.1230145,0.24513297,0.030760601,0.1817314,0.22385329,NonlinearRank,Threshold,NoElitism
kra30b,6.9074697,Tournament,0.36299026,74.607544,0.19475386,0.20540741,0.0423782,0.12260829,0.012428084,0.17158975,0.25514233,Threshold,Threshold,NoElitism
kra32,8.896636,Tournament,0.041238233,326.89902,0.12352946,0.046046454,0.07632476,0.16728672,0.2700119,0.038213633,0.25706434,NonlinearRank,Threshold,NoElitism
lipa20a,5.931443,Threshold,0.3247591,387.52145,0.23624113,0.066518806,0.23159553,0.20024504,0.06543962,0.19809163,0.02293863,Threshold,NonlinearRank,Elitism
lipa20b,4.2222323,LinearRank,0.019058576,254.61807,0.27958474,0.035878155,0.19951642,0.07728366,0.071837865,0.17483474,0.16017297,LinearRank,Threshold,NoElitism
lipa30a,2.517137,Threshold,0.039155595,368.71497,0.4260218,0.005574167,0.27310985,0.17186576,0.15823217,0.012061446,0.016156524,LinearRank,Threshold,NoElitism
